"filename", "language", "Rust", "CSV", "comment", "blank", "total"
"g:\vscode_workspace\bitrate_analyzer\bitrate_report.csv", "CSV", 0, 13, 0, 1, 14
"g:\vscode_workspace\bitrate_analyzer\src\analyzers\bitrate.rs", "Rust", 107, 0, 2, 17, 126
"g:\vscode_workspace\bitrate_analyzer\src\analyzers\duplicate.rs", "Rust", 97, 0, 4, 16, 117
"g:\vscode_workspace\bitrate_analyzer\src\analyzers\mod.rs", "Rust", 2, 0, 0, 0, 2
"g:\vscode_workspace\bitrate_analyzer\src\audio\formats.rs", "Rust", 0, 0, 0, 1, 1
"g:\vscode_workspace\bitrate_analyzer\src\audio\metadata.rs", "Rust", 149, 0, 14, 26, 189
"g:\vscode_workspace\bitrate_analyzer\src\audio\mod.rs", "Rust", 2, 0, 0, 0, 2
"g:\vscode_workspace\bitrate_analyzer\src\cli\commands.rs", "Rust", 30, 0, 8, 7, 45
"g:\vscode_workspace\bitrate_analyzer\src\cli\mod.rs", "Rust", 1, 0, 0, 0, 1
"g:\vscode_workspace\bitrate_analyzer\src\lib.rs", "Rust", 32, 0, 1, 5, 38
"g:\vscode_workspace\bitrate_analyzer\src\main.rs", "Rust", 118, 0, 10, 23, 151
"g:\vscode_workspace\bitrate_analyzer\src\utils\file_ops.rs", "Rust", 46, 0, 2, 9, 57
"g:\vscode_workspace\bitrate_analyzer\src\utils\mod.rs", "Rust", 2, 0, 0, 0, 2
"g:\vscode_workspace\bitrate_analyzer\src\utils\reporting.rs", "Rust", 71, 0, 3, 15, 89
"Total", "-", 657, 13, 44, 120, 834